"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"Ankrd12",6126,64,89,92,51,8,1,10.45,14.53,15.02,8.33,1.31,0.16
"Ankrd13c",1626,18,26,27,13,0,1,11.07,15.99,16.61,8,0,0.62
"Ankrd17",7812,79,140,103,55,7,3,10.11,17.92,13.18,7.04,0.9,0.38
"Ankrd33b",1461,8,28,26,14,2,2,5.48,19.16,17.8,9.58,1.37,1.37
"Ankrd40",1092,13,23,16,8,2,1,11.9,21.06,14.65,7.33,1.83,0.92
"Ankrd50",4173,26,81,76,48,3,3,6.23,19.41,18.21,11.5,0.72,0.72
"Ankrd6",2139,8,43,31,13,2,2,3.74,20.1,14.49,6.08,0.94,0.94
"Ankrd63",1173,8,10,23,11,0,1,6.82,8.53,19.61,9.38,0,0.85
"Anks1b",3780,34,70,53,28,2,3,8.99,18.52,14.02,7.41,0.53,0.79
"Ano3",2946,36,48,35,15,3,2,12.22,16.29,11.88,5.09,1.02,0.68
"Anxa6",2022,19,34,43,21,2,2,9.4,16.82,21.27,10.39,0.99,0.99
"Anxa7",1392,3,29,23,12,1,3,2.16,20.83,16.52,8.62,0.72,2.16
"Ap1ar",897,8,21,25,12,0,1,8.92,23.41,27.87,13.38,0,1.11
"Ap1b1",2832,28,46,62,22,2,0,9.89,16.24,21.89,7.77,0.71,0
"Ap1s1",567,6,18,10,8,2,2,10.58,31.75,17.64,14.11,3.53,3.53
"Ap2a1",2934,26,34,54,24,1,2,8.86,11.59,18.4,8.18,0.34,0.68
"Ap2a2",2817,27,35,59,24,1,1,9.58,12.42,20.94,8.52,0.35,0.35
"Ap2b1",2856,23,48,40,17,1,2,8.05,16.81,14.01,5.95,0.35,0.7
"Ap2m1",1308,9,13,13,6,2,1,6.88,9.94,9.94,4.59,1.53,0.76
"Ap2s1",429,7,6,8,6,0,1,16.32,13.99,18.65,13.99,0,2.33
"Ap3b2",3249,16,54,55,21,2,2,4.92,16.62,16.93,6.46,0.62,0.62
"Ap3m2",1257,6,14,24,15,2,0,4.77,11.14,19.09,11.93,1.59,0
"Apba2",2253,15,52,49,16,0,2,6.66,23.08,21.75,7.1,0,0.89
"Apbb1",2133,5,53,36,15,0,3,2.34,24.85,16.88,7.03,0,1.41
"Apbb1.1",2133,5,53,36,15,0,3,2.34,24.85,16.88,7.03,0,1.41
"Apbb2",2283,15,35,49,26,1,3,6.57,15.33,21.46,11.39,0.44,1.31
"Apbb2.1",2283,15,35,49,26,1,3,6.57,15.33,21.46,11.39,0.44,1.31
"Apc",8529,77,118,141,84,7,2,9.03,13.84,16.53,9.85,0.82,0.23
"Aplp1",1965,12,41,27,8,1,4,6.11,20.87,13.74,4.07,0.51,2.04
"Apmap",1248,11,19,22,11,2,0,8.81,15.22,17.63,8.81,1.6,0
"Apod",570,5,11,6,4,0,0,8.77,19.3,10.53,7.02,0,0
"Apoe",936,3,23,15,9,1,1,3.21,24.57,16.03,9.62,1.07,1.07
"Ar",2700,23,47,33,11,1,2,8.52,17.41,12.22,4.07,0.37,0.74
"Araf",1815,17,22,31,11,2,1,9.37,12.12,17.08,6.06,1.1,0.55
"Arap2",5112,45,90,73,37,5,3,8.8,17.61,14.28,7.24,0.98,0.59
"Arc",1191,7,33,19,6,1,2,5.88,27.71,15.95,5.04,0.84,1.68
"Arcn1",1536,13,29,19,9,1,1,8.46,18.88,12.37,5.86,0.65,0.65
"Arel1",2472,22,35,34,15,2,2,8.9,14.16,13.75,6.07,0.81,0.81
"Arf1",546,4,8,10,6,2,0,7.33,14.65,18.32,10.99,3.66,0
"Arf2",546,3,7,12,7,1,0,5.49,12.82,21.98,12.82,1.83,0
"Arf3",546,2,10,10,7,2,1,3.66,18.32,18.32,12.82,3.66,1.83
"Arf6",528,4,8,18,8,2,0,7.58,15.15,34.09,15.15,3.79,0
"Arfgap2",1605,16,24,17,5,1,1,9.97,14.95,10.59,3.12,0.62,0.62
"Arfgef1",5541,63,86,79,41,6,1,11.37,15.52,14.26,7.4,1.08,0.18
"Arfgef2",5379,37,93,97,55,5,1,6.88,17.29,18.03,10.22,0.93,0.19
"Arfgef3",6513,60,101,118,48,5,3,9.21,15.51,18.12,7.37,0.77,0.46
"Arfip2",1026,9,15,27,14,0,1,8.77,14.62,26.32,13.65,0,0.97
"Arhgap10",2361,18,47,48,20,4,2,7.62,19.91,20.33,8.47,1.69,0.85
"Arhgap12",2532,20,46,41,22,5,1,7.9,18.17,16.19,8.69,1.97,0.39
"Arhgap20",3549,29,53,55,30,3,2,8.17,14.93,15.5,8.45,0.85,0.56
"Arhgap21",5868,52,94,121,54,4,3,8.86,16.02,20.62,9.2,0.68,0.51
"Arhgap23",4467,24,80,85,45,1,5,5.37,17.91,19.03,10.07,0.22,1.12
"Arhgap32",6270,44,79,94,51,2,2,7.02,12.6,14.99,8.13,0.32,0.32
"Arhgap35",4500,46,68,72,28,4,3,10.22,15.11,16,6.22,0.89,0.67
"Arhgap39",3330,25,52,46,24,4,4,7.51,15.62,13.81,7.21,1.2,1.2
"Arhgap44",2445,16,38,43,20,4,1,6.54,15.54,17.59,8.18,1.64,0.41
"Arhgap5",4512,54,65,48,23,1,1,11.97,14.41,10.64,5.1,0.22,0.22
"Arhgdia",615,8,20,17,7,4,1,13.01,32.52,27.64,11.38,6.5,1.63
"Arhgdig",678,8,18,19,9,3,0,11.8,26.55,28.02,13.27,4.42,0
"Arhgef10",4038,18,75,57,31,5,3,4.46,18.57,14.12,7.68,1.24,0.74
"Arhgef10l",3843,25,73,79,35,5,1,6.51,19,20.56,9.11,1.3,0.26
"Arhgef11",4659,23,90,86,36,10,2,4.94,19.32,18.46,7.73,2.15,0.43
"Arhgef12",4635,42,103,79,43,5,4,9.06,22.22,17.04,9.28,1.08,0.86
"Arhgef17",6174,37,101,128,53,2,2,5.99,16.36,20.73,8.58,0.32,0.32
"Arhgef2",2958,24,59,57,21,1,1,8.11,19.95,19.27,7.1,0.34,0.34
"Arhgef25",1857,22,35,34,13,4,1,11.85,18.85,18.31,7,2.15,0.54
"Arhgef28",5103,41,114,87,40,3,5,8.03,22.34,17.05,7.84,0.59,0.98
"Arhgef3",1596,16,23,34,13,1,0,10.03,14.41,21.3,8.15,0.63,0
"Arhgef4",5568,50,92,106,47,7,3,8.98,16.52,19.04,8.44,1.26,0.54
"Arhgef9",1683,12,33,29,16,3,1,7.13,19.61,17.23,9.51,1.78,0.59
"Arid1a",6864,26,91,82,35,4,1,3.79,13.26,11.95,5.1,0.58,0.15
"Arid1b",6735,25,108,99,56,7,3,3.71,16.04,14.7,8.31,1.04,0.45
"Arid2",5487,54,63,68,32,4,2,9.84,11.48,12.39,5.83,0.73,0.36
"Arih2",1479,17,30,26,10,1,0,11.49,20.28,17.58,6.76,0.68,0
"Arl1",546,4,15,11,8,1,2,7.33,27.47,20.15,14.65,1.83,3.66
"Arl2bp",492,4,12,10,6,1,0,8.13,24.39,20.33,12.2,2.03,0
"Arl4a",603,10,13,10,1,0,1,16.58,21.56,16.58,1.66,0,1.66
"Arl4c",579,5,11,9,5,1,0,8.64,19,15.54,8.64,1.73,0
"Arl6ip1",612,4,6,9,4,0,0,6.54,9.8,14.71,6.54,0,0
"Arl6ip5",567,3,8,8,4,0,0,5.29,14.11,14.11,7.05,0,0
"Arl8a",561,3,13,11,6,1,1,5.35,23.17,19.61,10.7,1.78,1.78
"Armcx1",1371,15,27,22,5,2,2,10.94,19.69,16.05,3.65,1.46,1.46
"Armcx2",2355,22,28,22,7,0,0,9.34,11.89,9.34,2.97,0,0
"Armcx3",1140,17,12,14,4,0,0,14.91,10.53,12.28,3.51,0,0
"Arnt2",2139,15,35,42,22,6,1,7.01,16.36,19.64,10.29,2.81,0.47
"Arpc1a",1113,13,16,16,5,2,0,11.68,14.38,14.38,4.49,1.8,0
"Arpc2",903,5,12,14,9,0,0,5.54,13.29,15.5,9.97,0,0
"Arpc3",537,4,9,14,7,1,1,7.45,16.76,26.07,13.04,1.86,1.86
"Arpc4",507,7,12,5,3,1,0,13.81,23.67,9.86,5.92,1.97,0
"Arpc5l",462,4,5,9,6,0,1,8.66,10.82,19.48,12.99,0,2.16
"Arpp21",2430,23,36,34,14,1,2,9.47,14.81,13.99,5.76,0.41,0.82
"Arrb1",1260,9,27,36,20,3,2,7.14,21.43,28.57,15.87,2.38,1.59
"Arvcf",2889,28,53,63,29,3,3,9.69,18.35,21.81,10.04,1.04,1.04
"Arxes2",543,6,9,14,6,2,0,11.05,16.57,25.78,11.05,3.68,0
"Asap1",3444,28,58,63,26,5,0,8.13,16.84,18.29,7.55,1.45,0
"Asap1.1",3444,28,58,63,26,5,0,8.13,16.84,18.29,7.55,1.45,0
"Ash1l",8877,81,126,123,60,9,4,9.12,14.19,13.86,6.76,1.01,0.45
"Asic2",1692,14,19,27,14,0,1,8.27,11.23,15.96,8.27,0,0.59
"Asna1",1047,5,13,23,12,0,0,4.78,12.42,21.97,11.46,0,0
"Asns",1686,14,30,29,13,0,1,8.3,17.79,17.2,7.71,0,0.59
"Asphd2",1032,12,12,13,1,0,0,11.63,11.63,12.6,0.97,0,0
"Asrgl1",981,12,22,18,4,1,0,12.23,22.43,18.35,4.08,1.02,0
"Astn1",3909,35,71,85,29,3,1,8.95,18.16,21.74,7.42,0.77,0.26
"Asxl1",4545,32,71,65,37,5,4,7.04,15.62,14.3,8.14,1.1,0.88
"Atcay",1119,11,26,31,15,2,1,9.83,23.24,27.7,13.4,1.79,0.89
"Ate1",1680,10,32,23,10,0,1,5.95,19.05,13.69,5.95,0,0.6
"Atf2",1464,12,13,17,8,0,1,8.2,8.88,11.61,5.46,0,0.68
"Atf4",1050,5,21,25,12,2,2,4.76,20,23.81,11.43,1.9,1.9
"Atf6",1971,18,27,34,17,0,0,9.13,13.7,17.25,8.63,0,0
"Atg13",1551,19,30,36,16,2,2,12.25,19.34,23.21,10.32,1.29,1.29
"Atg4b",1182,22,28,30,16,1,1,18.61,23.69,25.38,13.54,0.85,0.85
"Atg9a",2544,15,32,28,12,1,1,5.9,12.58,11.01,4.72,0.39,0.39
"Atmin",2457,29,26,54,23,1,1,11.8,10.58,21.98,9.36,0.41,0.41
"Atp13a2",3510,29,35,57,30,6,2,8.26,9.97,16.24,8.55,1.71,0.57
"Atp1b2",873,8,7,14,4,1,0,9.16,8.02,16.04,4.58,1.15,0
"Atp1b3",837,7,12,17,6,1,0,8.36,14.34,20.31,7.17,1.19,0
"Atp2b2",3732,24,53,72,43,6,2,6.43,14.2,19.29,11.52,1.61,0.54
"Atp2b4",3618,32,62,65,37,8,2,8.84,17.14,17.97,10.23,2.21,0.55
"Atp6ap1",1392,20,19,29,9,3,0,14.37,13.65,20.83,6.47,2.16,0
"Atp6v0a1",2520,24,39,42,18,1,2,9.52,15.48,16.67,7.14,0.4,0.79
"Atp6v0a2",2571,16,45,29,11,0,3,6.22,17.5,11.28,4.28,0,1.17
"Atp6v0b",618,2,4,5,2,0,0,3.24,6.47,8.09,3.24,0,0
"Atp6v0d1",1056,11,18,20,9,2,1,10.42,17.05,18.94,8.52,1.89,0.95
"Atp6v0e2",339,1,3,4,1,0,0,2.95,8.85,11.8,2.95,0,0
"Atp6v1b2",1536,13,15,29,15,0,0,8.46,9.77,18.88,9.77,0,0
"Atp6v1c1",1149,13,16,18,6,1,1,11.31,13.93,15.67,5.22,0.87,0.87
"Atp6v1d",744,9,13,12,3,0,0,12.1,17.47,16.13,4.03,0,0
"Atp6v1e1",681,4,11,7,0,0,0,5.87,16.15,10.28,0,0,0
"Atp6v1f",360,2,7,7,4,0,0,5.56,19.44,19.44,11.11,0,0
"Atp6v1g2",357,2,9,3,1,0,1,5.6,25.21,8.4,2.8,0,2.8
"Atp6v1h",1452,16,20,14,8,1,0,11.02,13.77,9.64,5.51,0.69,0
"Atp9a",3318,32,45,65,31,4,2,9.64,13.56,19.59,9.34,1.21,0.6
"Atraid",672,8,8,6,3,1,0,11.9,11.9,8.93,4.46,1.49,0
"Atrnl1",4137,42,65,60,33,2,1,10.15,15.71,14.5,7.98,0.48,0.24
"Atxn1",2400,9,27,28,14,2,2,3.75,11.25,11.67,5.83,0.83,0.83
"Atxn10",1428,11,28,20,13,0,1,7.7,19.61,14.01,9.1,0,0.7
"Atxn7l3b",294,2,10,5,4,0,0,6.8,34.01,17.01,13.61,0,0
"AU040320",3258,28,48,63,25,1,2,8.59,14.73,19.34,7.67,0.31,0.61
"Auts2",3042,23,40,59,20,3,2,7.56,13.15,19.4,6.57,0.99,0.66
"Avl9",1950,24,31,29,16,1,2,12.31,15.9,14.87,8.21,0.51,1.03
"Azi2",1218,15,20,24,16,0,2,12.32,16.42,19.7,13.14,0,1.64
"Azin2",1380,9,16,21,10,0,0,6.52,11.59,15.22,7.25,0,0
"B3galt2",1269,15,14,21,12,0,0,11.82,11.03,16.55,9.46,0,0
"B3gat1",1044,10,14,22,13,0,0,9.58,13.41,21.07,12.45,0,0
"B3gat3",1008,6,18,13,5,0,2,5.95,17.86,12.9,4.96,0,1.98
"B4galnt1",1602,11,26,35,18,1,1,6.87,16.23,21.85,11.24,0.62,0.62
"B4galnt4",3105,31,79,65,25,5,3,9.98,25.44,20.93,8.05,1.61,0.97
"B4galt2",1110,12,15,19,10,1,1,10.81,13.51,17.12,9.01,0.9,0.9
"B4gat1",1248,5,20,13,4,1,2,4.01,16.03,10.42,3.21,0.8,1.6
"Bace1",1506,14,18,31,15,2,0,9.3,11.95,20.58,9.96,1.33,0
"Bag1",1068,5,16,22,6,0,1,4.68,14.98,20.6,5.62,0,0.94
"Bag4",1374,8,22,20,9,1,1,5.82,16.01,14.56,6.55,0.73,0.73
"Bag5",1344,16,36,27,14,2,1,11.9,26.79,20.09,10.42,1.49,0.74
"Bag6",3465,28,49,46,21,4,2,8.08,14.14,13.28,6.06,1.15,0.58
"Bap1",2187,10,47,31,15,2,2,4.57,21.49,14.17,6.86,0.91,0.91
"Basp1",681,1,15,13,10,2,1,1.47,22.03,19.09,14.68,2.94,1.47
"Bbs1",1782,8,26,35,14,1,0,4.49,14.59,19.64,7.86,0.56,0
"BC005537",690,4,11,12,6,2,1,5.8,15.94,17.39,8.7,2.9,1.45
"BC031181",219,1,4,3,0,0,0,4.57,18.26,13.7,0,0,0
"Bcan",2652,25,53,42,16,1,1,9.43,19.98,15.84,6.03,0.38,0.38
"Bcas1",1902,14,35,55,29,5,2,7.36,18.4,28.92,15.25,2.63,1.05
"Bcas3",2832,28,33,54,30,2,0,9.89,11.65,19.07,10.59,0.71,0
"Bcl11b",2655,13,34,41,21,2,1,4.9,12.81,15.44,7.91,0.75,0.38
"Bcr",3813,26,74,73,38,3,2,6.82,19.41,19.15,9.97,0.79,0.52
"Becn1",1347,9,47,28,15,1,2,6.68,34.89,20.79,11.14,0.74,1.48
"Begain",2475,13,52,42,22,4,2,5.25,21.01,16.97,8.89,1.62,0.81
"Bend6",846,7,16,13,11,1,1,8.27,18.91,15.37,13,1.18,1.18
"Bex2",390,1,13,6,1,0,1,2.56,33.33,15.38,2.56,0,2.56
"Bex3",375,2,10,4,2,1,1,5.33,26.67,10.67,5.33,2.67,2.67
"Bfar",1353,13,25,19,12,1,1,9.61,18.48,14.04,8.87,0.74,0.74
"Bhlhe22",1068,1,8,11,7,0,0,0.94,7.49,10.3,6.55,0,0
"Bhlhe40",1236,15,15,21,8,1,0,12.14,12.14,16.99,6.47,0.81,0
"Bin1",1767,10,33,28,13,0,1,5.66,18.68,15.85,7.36,0,0.57
"Birc2",1839,20,35,31,20,1,0,10.88,19.03,16.86,10.88,0.54,0
"Blcap",264,2,1,1,0,0,0,7.58,3.79,3.79,0,0,0
"Blmh",1368,8,22,24,9,2,1,5.85,16.08,17.54,6.58,1.46,0.73
"Bmpr1a",1599,14,24,22,9,0,1,8.76,15.01,13.76,5.63,0,0.63
"Bmpr2",3117,24,44,43,21,2,1,7.7,14.12,13.8,6.74,0.64,0.32
"Bod1",522,1,12,11,6,1,0,1.92,22.99,21.07,11.49,1.92,0
"Bpgm",780,10,26,8,3,0,1,12.82,33.33,10.26,3.85,0,1.28
"Brap",1776,9,33,34,17,1,1,5.07,18.58,19.14,9.57,0.56,0.56
"Brd1",3570,27,72,53,25,3,5,7.56,20.17,14.85,7,0.84,1.4
"Bri3bp",762,5,12,12,8,2,1,6.56,15.75,15.75,10.5,2.62,1.31
"Brinp1",2283,23,43,41,10,1,1,10.07,18.83,17.96,4.38,0.44,0.44
"Brinp2",2352,24,38,43,14,1,2,10.2,16.16,18.28,5.95,0.43,0.85
"Brinp3",2301,20,30,48,19,4,1,8.69,13.04,20.86,8.26,1.74,0.43
"Brk1",228,2,2,8,3,1,0,8.77,8.77,35.09,13.16,4.39,0
"Brsk1",2337,16,39,42,20,2,2,6.85,16.69,17.97,8.56,0.86,0.86
"Brsk2",2208,17,36,41,23,3,1,7.7,16.3,18.57,10.42,1.36,0.45
"Bsdc1",1284,11,21,24,8,0,1,8.57,16.36,18.69,6.23,0,0.78
"Bsg",1170,9,15,21,10,2,3,7.69,12.82,17.95,8.55,1.71,2.56
"Btbd1",1467,12,17,22,14,2,1,8.18,11.59,15,9.54,1.36,0.68
"Btbd10",1452,5,20,17,7,1,2,3.44,13.77,11.71,4.82,0.69,1.38
"Btbd2",1572,8,17,29,17,2,1,5.09,10.81,18.45,10.81,1.27,0.64
"Bub3",981,10,11,14,6,1,0,10.19,11.21,14.27,6.12,1.02,0
"Bzw1",1356,14,21,19,8,1,1,10.32,15.49,14.01,5.9,0.74,0.74
"C1ql3",768,3,4,8,3,0,0,3.91,5.21,10.42,3.91,0,0
"C1qtnf4",981,6,1,22,17,1,0,6.12,1.02,22.43,17.33,1.02,0
"C2cd2l",2121,14,33,42,15,1,2,6.6,15.56,19.8,7.07,0.47,0.94
"C77370",4548,41,60,58,26,5,0,9.01,13.19,12.75,5.72,1.1,0
